Date	name	value
2003-05-20	중국 냉연 내수가 (전국평균) (RMB/톤)	4232
2003-05-21	중국 냉연 내수가 (전국평균) (RMB/톤)	4232
2003-05-22	중국 냉연 내수가 (전국평균) (RMB/톤)	4239
2003-05-23	중국 냉연 내수가 (전국평균) (RMB/톤)	4232
2003-05-26	중국 냉연 내수가 (전국평균) (RMB/톤)	4227
2003-05-27	중국 냉연 내수가 (전국평균) (RMB/톤)	4227
2003-05-28	중국 냉연 내수가 (전국평균) (RMB/톤)	4216
2003-05-29	중국 냉연 내수가 (전국평균) (RMB/톤)	4200
2003-05-30	중국 냉연 내수가 (전국평균) (RMB/톤)	4200
2003-06-02	중국 냉연 내수가 (전국평균) (RMB/톤)	4195
2003-06-03	중국 냉연 내수가 (전국평균) (RMB/톤)	4182
2003-06-04	중국 냉연 내수가 (전국평균) (RMB/톤)	4175
2003-06-05	중국 냉연 내수가 (전국평균) (RMB/톤)	4166
2003-06-06	중국 냉연 내수가 (전국평균) (RMB/톤)	4142
2003-06-09	중국 냉연 내수가 (전국평균) (RMB/톤)	4142
2003-06-10	중국 냉연 내수가 (전국평균) (RMB/톤)	4133
2003-06-11	중국 냉연 내수가 (전국평균) (RMB/톤)	4133
2003-06-12	중국 냉연 내수가 (전국평균) (RMB/톤)	4133
2003-06-13	중국 냉연 내수가 (전국평균) (RMB/톤)	4100
2003-06-16	중국 냉연 내수가 (전국평균) (RMB/톤)	4105
2003-06-17	중국 냉연 내수가 (전국평균) (RMB/톤)	4095
2003-06-18	중국 냉연 내수가 (전국평균) (RMB/톤)	4090
2003-06-19	중국 냉연 내수가 (전국평균) (RMB/톤)	4095
2003-06-20	중국 냉연 내수가 (전국평균) (RMB/톤)	4095
2003-06-23	중국 냉연 내수가 (전국평균) (RMB/톤)	4101
2003-06-24	중국 냉연 내수가 (전국평균) (RMB/톤)	4114
2003-06-25	중국 냉연 내수가 (전국평균) (RMB/톤)	4121
2003-06-26	중국 냉연 내수가 (전국평균) (RMB/톤)	4121
2003-06-27	중국 냉연 내수가 (전국평균) (RMB/톤)	4121
2003-06-30	중국 냉연 내수가 (전국평균) (RMB/톤)	4144
2003-07-01	중국 냉연 내수가 (전국평균) (RMB/톤)	4142
2003-07-02	중국 냉연 내수가 (전국평균) (RMB/톤)	4158
2003-07-03	중국 냉연 내수가 (전국평균) (RMB/톤)	4169
2003-07-04	중국 냉연 내수가 (전국평균) (RMB/톤)	4175
2003-07-07	중국 냉연 내수가 (전국평균) (RMB/톤)	4220
2003-07-08	중국 냉연 내수가 (전국평균) (RMB/톤)	4247
2003-07-09	중국 냉연 내수가 (전국평균) (RMB/톤)	4277
2003-07-10	중국 냉연 내수가 (전국평균) (RMB/톤)	4305
2003-07-11	중국 냉연 내수가 (전국평균) (RMB/톤)	4323
2003-07-14	중국 냉연 내수가 (전국평균) (RMB/톤)	4359
2003-07-15	중국 냉연 내수가 (전국평균) (RMB/톤)	4368
2003-07-16	중국 냉연 내수가 (전국평균) (RMB/톤)	4405
2003-07-17	중국 냉연 내수가 (전국평균) (RMB/톤)	4423
2003-07-18	중국 냉연 내수가 (전국평균) (RMB/톤)	4441
2003-07-21	중국 냉연 내수가 (전국평균) (RMB/톤)	4441
2003-07-22	중국 냉연 내수가 (전국평균) (RMB/톤)	4441
2003-07-23	중국 냉연 내수가 (전국평균) (RMB/톤)	4455
2003-07-24	중국 냉연 내수가 (전국평균) (RMB/톤)	4457
2003-07-25	중국 냉연 내수가 (전국평균) (RMB/톤)	4457
2003-07-28	중국 냉연 내수가 (전국평균) (RMB/톤)	4453
2003-07-29	중국 냉연 내수가 (전국평균) (RMB/톤)	4453
2003-07-30	중국 냉연 내수가 (전국평균) (RMB/톤)	4455
