scrap_gap_50,weightA_p10,scrap_gap_10,weightA_p90,scrap_gap_90,weightA_p50
721029.6498076924,359000.0,721029.6498076924,359000.0,721029.6498076924,359000.0
721029.6498076924,363000.0,721029.6498076924,363000.0,721029.6498076924,363000.0
721029.6498076924,362000.0,721029.6498076924,362000.0,721029.6498076924,362000.0
730090.5860576923,362000.0,730090.5860576923,362000.0,730090.5860576923,362000.0
730090.5860576923,361000.0,730090.5860576923,361000.0,730090.5860576923,361000.0
730090.5860576923,356000.0,730090.5860576923,356000.0,730090.5860576923,356000.0
733704.5748076923,355000.0,733704.5748076923,355000.0,733704.5748076923,355000.0
733704.5748076923,357000.0,733704.5748076923,357000.0,733704.5748076923,357000.0
733704.5748076923,356000.0,733704.5748076923,356000.0,733704.5748076923,356000.0
733704.5748076923,356000.0,733704.5748076923,356000.0,733704.5748076923,356000.0
754291.5375,350000.0,754291.5375,350000.0,754291.5375,350000.0
754291.5375,348000.0,754291.5375,348000.0,754291.5375,348000.0
754291.5375,338000.0,754291.5375,338000.0,754291.5375,338000.0
754291.5375,329000.0,754291.5375,329000.0,754291.5375,329000.0
754291.5375,319000.0,754291.5375,319000.0,754291.5375,319000.0
742860.6625,316000.0,742860.6625,316000.0,742860.6625,316000.0
742860.6625,306000.0,742860.6625,306000.0,742860.6625,306000.0
742860.6625,306000.0,742860.6625,306000.0,742860.6625,306000.0
742860.6625,306000.0,742860.6625,306000.0,742860.6625,306000.0
748919.2432692307,307000.0,748919.2432692307,307000.0,748919.2432692307,307000.0
748919.2432692307,328000.0,748919.2432692307,328000.0,748919.2432692307,328000.0
748919.2432692307,340000.0,748919.2432692307,340000.0,748919.2432692307,340000.0
748919.2432692307,335000.0,748919.2432692307,335000.0,748919.2432692307,335000.0
714996.9307692307,327000.0,714996.9307692307,327000.0,714996.9307692307,327000.0
714996.9307692307,327000.0,714996.9307692307,327000.0,714996.9307692307,327000.0
714996.9307692307,319000.0,714996.9307692307,319000.0,714996.9307692307,319000.0
714996.9307692307,310000.0,714996.9307692307,310000.0,714996.9307692307,310000.0
712833.0807692307,313000.0,712833.0807692307,313000.0,712833.0807692307,313000.0
712833.0807692307,334000.0,712833.0807692307,334000.0,712833.0807692307,334000.0
712833.0807692307,338000.0,712833.0807692307,338000.0,712833.0807692307,338000.0
712833.0807692307,338000.0,712833.0807692307,338000.0,712833.0807692307,338000.0
712833.0807692307,338000.0,712833.0807692307,338000.0,712833.0807692307,338000.0
720005.4307692307,342000.0,720005.4307692307,342000.0,720005.4307692307,342000.0
720005.4307692307,357000.0,720005.4307692307,357000.0,720005.4307692307,357000.0
720005.4307692307,344000.0,720005.4307692307,344000.0,720005.4307692307,344000.0
720005.4307692307,330000.0,720005.4307692307,330000.0,720005.4307692307,330000.0
739329.05,320000.0,739329.05,320000.0,739329.05,320000.0
739329.05,317000.0,739329.05,317000.0,739329.05,317000.0
739329.05,326000.0,739329.05,326000.0,739329.05,326000.0
739329.05,328000.0,739329.05,328000.0,739329.05,328000.0
739329.05,327000.0,739329.05,327000.0,739329.05,327000.0
731535.52,347000.0,731535.52,347000.0,731535.52,347000.0
731535.52,344000.0,731535.52,344000.0,731535.52,344000.0
731535.52,341000.0,731535.52,341000.0,731535.52,341000.0
731535.52,334000.0,731535.52,334000.0,731535.52,334000.0
730636.55,324000.0,730636.55,324000.0,730636.55,324000.0
730636.55,322000.0,730636.55,322000.0,730636.55,322000.0
730636.55,316000.0,730636.55,316000.0,730636.55,316000.0
730636.55,316000.0,730636.55,316000.0,730636.55,316000.0
711636.0625,314000.0,711636.0625,314000.0,711636.0625,314000.0
711636.0625,313000.0,711636.0625,313000.0,711636.0625,313000.0
711636.0625,322000.0,711636.0625,322000.0,711636.0625,322000.0
711636.0625,327000.0,711636.0625,327000.0,711636.0625,327000.0
711636.0625,326000.0,711636.0625,326000.0,711636.0625,326000.0
713496.68125,324000.0,713496.68125,324000.0,713496.68125,324000.0
713496.68125,326000.0,713496.68125,326000.0,713496.68125,326000.0
713496.68125,320000.0,713496.68125,320000.0,713496.68125,320000.0
713496.68125,311000.0,713496.68125,311000.0,713496.68125,311000.0
711379.1769230769,300000.0,711379.1769230769,300000.0,711379.1769230769,300000.0
711379.1769230769,293000.0,711379.1769230769,293000.0,711379.1769230769,293000.0
711379.1769230769,279000.0,711379.1769230769,279000.0,711379.1769230769,279000.0
711379.1769230769,265000.0,711379.1769230769,265000.0,711379.1769230769,265000.0
714000.0,254000.0,714000.0,254000.0,714000.0,254000.0
714000.0,245000.0,714000.0,245000.0,714000.0,245000.0
714000.0,240000.0,714000.0,240000.0,714000.0,240000.0
714000.0,241000.0,714000.0,241000.0,714000.0,241000.0
714000.0,243000.0,714000.0,243000.0,714000.0,243000.0
714000.0,261000.0,714000.0,261000.0,714000.0,261000.0
714000.0,261000.0,714000.0,261000.0,714000.0,261000.0
714000.0,265000.0,714000.0,265000.0,714000.0,265000.0
714000.0,263000.0,714000.0,263000.0,714000.0,263000.0
660000.0,263000.0,660000.0,263000.0,660000.0,263000.0
660000.0,274000.0,660000.0,274000.0,660000.0,274000.0
660000.0,280000.0,660000.0,280000.0,660000.0,280000.0
660000.0,274000.0,660000.0,274000.0,660000.0,274000.0
660000.0,272000.0,660000.0,272000.0,660000.0,272000.0
675291.0192307692,271000.0,675291.0192307692,271000.0,675291.0192307692,271000.0
675291.0192307692,261000.0,675291.0192307692,261000.0,675291.0192307692,261000.0
675291.0192307692,253000.0,675291.0192307692,253000.0,675291.0192307692,253000.0
675291.0192307692,250000.0,675291.0192307692,250000.0,675291.0192307692,250000.0
666597.7567307693,251000.0,666597.7567307693,251000.0,666597.7567307693,251000.0
666597.7567307693,254000.0,666597.7567307693,254000.0,666597.7567307693,254000.0
666597.7567307693,250000.0,666597.7567307693,250000.0,666597.7567307693,250000.0
666597.7567307693,243000.0,666597.7567307693,243000.0,666597.7567307693,243000.0
662626.9653846154,242000.0,662626.9653846154,242000.0,662626.9653846154,242000.0
662626.9653846154,233000.0,662626.9653846154,233000.0,662626.9653846154,233000.0
662626.9653846154,233000.0,662626.9653846154,233000.0,662626.9653846154,233000.0
662626.9653846154,227000.0,662626.9653846154,227000.0,662626.9653846154,227000.0
632156.1413461538,242000.0,632156.1413461538,242000.0,632156.1413461538,242000.0
632156.1413461538,245000.0,632156.1413461538,245000.0,632156.1413461538,245000.0
632156.1413461538,262000.0,632156.1413461538,262000.0,632156.1413461538,262000.0
632156.1413461538,260000.0,632156.1413461538,260000.0,632156.1413461538,260000.0
632156.1413461538,271000.0,632156.1413461538,271000.0,632156.1413461538,271000.0
643952.6725961538,282000.0,643952.6725961538,282000.0,643952.6725961538,282000.0
643952.6725961538,294000.0,643952.6725961538,294000.0,643952.6725961538,294000.0
643952.6725961538,296000.0,643952.6725961538,296000.0,643952.6725961538,296000.0
643952.6725961538,296000.0,643952.6725961538,296000.0,643952.6725961538,296000.0
658507.2076923077,286000.0,658507.2076923077,286000.0,658507.2076923077,286000.0
658507.2076923077,276000.0,658507.2076923077,276000.0,658507.2076923077,276000.0
658507.2076923077,265000.0,658507.2076923077,265000.0,658507.2076923077,265000.0
658507.2076923077,260000.0,658507.2076923077,260000.0,658507.2076923077,260000.0
658507.2076923077,259000.0,658507.2076923077,259000.0,658507.2076923077,259000.0
671148.1661538462,260000.0,671148.1661538462,260000.0,671148.1661538462,260000.0
671148.1661538462,272000.0,671148.1661538462,272000.0,671148.1661538462,272000.0
671148.1661538462,293000.0,671148.1661538462,293000.0,671148.1661538462,293000.0
671148.1661538462,294000.0,671148.1661538462,294000.0,671148.1661538462,294000.0
677303.0436538463,308000.0,677303.0436538463,308000.0,677303.0436538463,308000.0
677303.0436538463,306000.0,677303.0436538463,306000.0,677303.0436538463,306000.0
677303.0436538463,301000.0,677303.0436538463,301000.0,677303.0436538463,301000.0
677303.0436538463,298000.0,677303.0436538463,298000.0,677303.0436538463,298000.0
684651.3923076923,289000.0,684651.3923076923,289000.0,684651.3923076923,289000.0
684651.3923076923,288000.0,684651.3923076923,288000.0,684651.3923076923,288000.0
684651.3923076923,289000.0,684651.3923076923,289000.0,684651.3923076923,289000.0
684651.3923076923,285000.0,684651.3923076923,285000.0,684651.3923076923,285000.0
684651.3923076923,283000.0,684651.3923076923,283000.0,684651.3923076923,283000.0
689882.4538461538,287000.0,689882.4538461538,287000.0,689882.4538461538,287000.0
689882.4538461538,303000.0,689882.4538461538,303000.0,689882.4538461538,303000.0
689882.4538461538,308000.0,689882.4538461538,308000.0,689882.4538461538,308000.0
689882.4538461538,312000.0,689882.4538461538,312000.0,689882.4538461538,312000.0
698118.0788461538,312000.0,698118.0788461538,312000.0,698118.0788461538,312000.0
698118.0788461538,312000.0,698118.0788461538,312000.0,698118.0788461538,312000.0
698118.0788461538,329000.0,698118.0788461538,329000.0,698118.0788461538,329000.0
698118.0788461538,377000.0,698118.0788461538,377000.0,698118.0788461538,377000.0
685890.4307692307,387000.0,685890.4307692307,387000.0,685890.4307692307,387000.0
685890.4307692307,408000.0,685890.4307692307,408000.0,685890.4307692307,408000.0
685890.4307692307,418000.0,685890.4307692307,418000.0,685890.4307692307,418000.0
685890.4307692307,404000.0,685890.4307692307,404000.0,685890.4307692307,404000.0
685890.4307692307,381000.0,685890.4307692307,381000.0,685890.4307692307,381000.0
715000.0,369000.0,715000.0,369000.0,715000.0,369000.0
715000.0,360000.0,715000.0,360000.0,715000.0,360000.0
715000.0,361000.0,715000.0,361000.0,715000.0,361000.0
715000.0,382000.0,715000.0,382000.0,715000.0,382000.0
715000.0,401000.0,715000.0,401000.0,715000.0,401000.0
715000.0,412000.0,715000.0,412000.0,715000.0,412000.0
715000.0,405000.0,715000.0,405000.0,715000.0,405000.0
715000.0,396000.0,715000.0,396000.0,715000.0,396000.0
715000.0,394000.0,715000.0,394000.0,715000.0,394000.0
715000.0,409000.0,715000.0,409000.0,715000.0,409000.0
715000.0,415000.0,715000.0,415000.0,715000.0,415000.0
715000.0,429000.0,715000.0,429000.0,715000.0,429000.0
715000.0,429000.0,715000.0,429000.0,715000.0,429000.0
867153.7492307692,430000.0,867153.7492307692,430000.0,867153.7492307692,430000.0
867153.7492307692,443000.0,867153.7492307692,443000.0,867153.7492307692,443000.0
867153.7492307692,472000.0,867153.7492307692,472000.0,867153.7492307692,472000.0
867153.7492307692,492000.0,867153.7492307692,492000.0,867153.7492307692,492000.0
845000.0,492000.0,845000.0,492000.0,845000.0,492000.0
845000.0,493000.0,845000.0,493000.0,845000.0,493000.0
845000.0,499000.0,845000.0,499000.0,845000.0,499000.0
845000.0,511000.0,845000.0,511000.0,845000.0,511000.0
845000.0,511000.0,845000.0,511000.0,845000.0,511000.0
845000.0,523000.0,845000.0,523000.0,845000.0,523000.0
845000.0,533000.0,845000.0,533000.0,845000.0,533000.0
845000.0,534000.0,845000.0,534000.0,845000.0,534000.0
845000.0,545000.0,845000.0,545000.0,845000.0,545000.0
930000.0,545000.0,930000.0,545000.0,930000.0,545000.0
930000.0,545000.0,930000.0,545000.0,930000.0,545000.0
930000.0,546000.0,930000.0,546000.0,930000.0,546000.0
930000.0,551000.0,930000.0,551000.0,930000.0,551000.0
930000.0,545000.0,930000.0,545000.0,930000.0,545000.0
930000.0,537000.0,930000.0,537000.0,930000.0,537000.0
930000.0,535000.0,930000.0,535000.0,930000.0,535000.0
930000.0,527000.0,930000.0,527000.0,930000.0,527000.0
930000.0,528000.0,930000.0,528000.0,930000.0,528000.0
930000.0,535000.0,930000.0,535000.0,930000.0,535000.0
930000.0,546000.0,930000.0,546000.0,930000.0,546000.0
930000.0,568000.0,930000.0,568000.0,930000.0,568000.0
930000.0,527022.5724,930000.0,582145.9367,930000.0,539706.0447
968189.3124887693,407479.1161,952314.5761167693,607457.0458,1047870.8393687693,544665.6899
968189.3124887693,521737.9084,952314.5761167693,597671.1824,1047870.8393687693,540453.9427
968189.3124887693,522531.76629999996,952314.5761167693,555869.5613,1047870.8393687693,552202.2381000001
968189.3124887693,533985.7702,952314.5761167693,624735.7011000001,1047870.8393687693,563672.7793
968189.3124887693,562364.7623000001,952314.5761167693,645691.4937999999,1047870.8393687693,560739.8133
974901.4772907693,545609.5705,945369.8453047693,590847.9915,1016005.0,587110.8
974901.4772907693,529519.4454999999,945369.8453047693,635336.0197,1016005.0,589785.8825
974901.4772907693,558619.4453,945369.8453047693,646023.1357,1016005.0,596215.8774
974901.4772907693,560171.8156,945369.8453047693,662731.4447999999,1016005.0,599220.6037
990042.1546892308,593630.0983,943528.7111570878,678361.9028,1064651.0,597237.4798
990042.1546892308,568423.6850999999,943528.7111570878,690861.3617,1064651.0,617129.7467
990042.1546892308,578877.9025999999,943528.7111570878,641411.7886,1064651.0,638219.4173000001
990042.1546892308,629604.6091,943528.7111570878,637333.2669,1064651.0,633663.0803
990042.1546892308,512697.4572,943528.7111570878,711313.1593,1064651.0,632574.4322
1028438.0000000001,574593.7365,989048.119709857,657844.7782,1064651.0,655019.311
1028438.0000000001,574401.1365,989048.119709857,662679.4295,1064651.0,656312.0584
1028438.0000000001,619777.6763,989048.119709857,717818.706,1064651.0,624848.8564
1028438.0000000001,588057.9889,989048.119709857,736508.1645000001,1064651.0,645356.8824
