metric_name,date,p10,p50,p90
priceUSA_TAIWAN,2022-01-03,306.6954040527,351.2722473145,403.3233337402
priceUSA_TAIWAN,2022-01-10,306.6168518066,345.5708312988,399.2485046387
priceUSA_TAIWAN,2022-01-17,307.6628723145,342.8111877441,389.1696472168
priceUSA_TAIWAN,2022-01-24,295.8423156738,337.8815917969,374.8516540527
priceUSA_TAIWAN,2022-01-31,284.5678710938,328.3786621094,375.7060546875
priceUSA_TAIWAN,2022-02-07,283.3325500488,322.2819824219,369.1080932617
priceUSA_TAIWAN,2022-02-14,274.3399658203,318.7555236816,367.3416442871
importPriceUSA,2021-10-04,445.4356079102,472.0403747559,495.6294555664
importPriceUSA,2021-10-11,439.3720092773,472.3496704102,506.9367675781
importPriceUSA,2021-10-18,433.4680175781,472.1538085938,507.3712463379
importPriceUSA,2021-10-25,438.0644226074,468.2165222168,507.5624694824
importPriceUSA,2021-11-01,437.5429992676,473.1348876953,506.762298584
importPriceUSA,2021-11-08,434.1230773926,471.2723388672,501.379699707
importPriceUSA,2021-11-15,429.3916320801,467.4293823242,504.9032897949
importPriceUSA,2021-11-22,421.7732849121,468.1231384277,505.7579345703
importPriceUSA,2021-11-29,428.3497924805,463.5354919434,502.3838500977
importPriceUSA,2021-12-06,429.1002197266,464.7062683105,507.6706848145
importPriceUSA,2021-12-13,426.9606323242,464.5377197266,504.4379577637
importPriceUSA,2021-12-20,426.0968322754,458.443359375,513.3049316406
importPriceUSA,2021-12-27,426.0246276855,454.655456543,503.8215637207
importPriceUSA,2022-01-03,425.3976745605,448.1477355957,489.7028808594
importPriceUSA,2022-01-10,404.6058349609,442.6340942383,476.0125427246
importPriceUSA,2022-01-17,385.1304321289,425.4960632324,461.5923461914
importPriceUSA,2022-01-24,379.1953430176,413.7856445312,454.1747741699
importPriceUSA,2022-01-31,366.592590332,405.8142700195,449.2947998047
importpriceJP,2021-10-04,421.311920166,455.6223144531,484.7450561523
importpriceJP,2021-10-11,415.3202209473,456.9536437988,499.8375244141
importpriceJP,2021-10-18,412.2781066895,457.3117675781,498.2033996582
importpriceJP,2021-10-25,416.4449768066,452.6081237793,499.9815673828
importpriceJP,2021-11-01,418.2823486328,459.3035888672,496.6918029785
importpriceJP,2021-11-08,414.5742797852,457.6228942871,490.2548828125
importpriceJP,2021-11-15,409.375,451.3168945312,492.284942627
importpriceJP,2021-11-22,403.7279052734,452.5574645996,491.7832641602
importpriceJP,2021-11-29,412.7958679199,448.9930114746,488.8595581055
importpriceJP,2021-12-06,410.8434143066,448.5419616699,494.9562072754
importpriceJP,2021-12-13,407.0820617676,447.2839660645,491.0885314941
importpriceJP,2021-12-20,409.5111083984,441.9841918945,496.6785583496
importpriceJP,2021-12-27,411.4807128906,440.4088745117,489.7998046875
importpriceJP,2022-01-03,410.8734741211,436.9299926758,478.8141174316
importpriceJP,2022-01-10,394.4916992188,433.154876709,468.3703918457
importpriceJP,2022-01-17,374.2288818359,420.0354003906,459.2359008789
importpriceJP,2022-01-24,375.4365539551,409.7763061523,454.2914123535
importpriceJP,2022-01-31,363.2813415527,404.8760375977,450.4690856934
weightA,2021-10-04,497.6562194824,529.0169067383,559.1745605469
weightA,2021-10-11,496.973236084,533.4374389648,570.2252807617
weightA,2021-10-18,498.578338623,537.9380493164,576.0278930664
weightA,2021-10-25,503.0926513672,537.7395019531,582.3766479492
weightA,2021-11-01,505.5227661133,543.9017944336,580.9749755859
weightA,2021-11-08,497.7399291992,542.5224609375,578.6312866211
weightA,2021-11-15,491.0584716797,537.6093139648,580.2602539062
weightA,2021-11-22,487.5173339844,535.1990356445,583.4533691406
weightA,2021-11-29,479.9197692871,524.6287231445,577.6592407227
weightA,2021-12-06,471.5697937012,526.8036499023,586.0028076172
weightA,2021-12-13,468.589050293,529.9111328125,586.8829956055
weightA,2021-12-20,473.3354187012,522.8873291016,588.7988891602
weightA,2021-12-27,478.3023071289,523.1107177734,590.8698120117
weightA,2022-01-03,484.1311340332,524.7517700195,588.3793334961
weightA,2022-01-10,479.0801086426,531.6012573242,588.9063110352
weightA,2022-01-17,470.3987121582,524.1470947266,579.1577758789
weightA,2022-01-24,467.3275756836,509.2548217773,566.7440795898
weightA,2022-01-31,452.2502441406,500.9420166016,550.09375
stock,2021-10-04,714.9513549805,751.8594970703,795.9163208008
