date,priceJP,priceUSA_TAIWAN,importPriceUSA,importPriceJP,weightA,stock,gosi,priceCN,USD_KR
2021-10-04,441.335907,447.7512512,445.4356079,421.3119202,497.6562195,714.951355,859.7231445,568.0253296,1187.5
2021-10-11,425.6501465,429.2052002,439.3720093,415.3202209,496.9732361,743.8181152,843.2329102,551.1858521,1196.5
2021-10-18,409.5515747,410.263916,433.4680176,412.2781067,498.5783386,766.8966064,821.9907227,533.8374634,1187.5
2021-10-25,387.7987366,386.4449768,438.0644226,416.4449768,503.0926514,803.3981323,815.5361328,511.4533386,1175.62
2021-11-01,377.6693115,374.2088318,437.5429993,418.2823486,505.5227661,822.1792603,809.9798584,497.8386536,1179.486
2021-11-08,369.0490723,364.3146057,434.1230774,414.5742798,497.7399292,824.7085571,797.0351563,484.6297607,1180.964
2021-11-15,362.8417664,357.0911865,429.3916321,409.375,491.0584717,817.5400391,768.8422852,471.9641724,1206.948
2021-11-22,356.1874695,349.9816589,421.7732849,403.7279053,487.517334,856.4451904,752.4381104,465.5550537,1235.205
2021-11-29,346.7941589,339.6935425,428.3497925,412.7958679,479.9197693,874.4819336,751.369873,437.866394,1246.803
2021-12-06,339.4674072,332.9291382,429.1002197,410.8434143,471.5697937,869.3308105,739.6608276,418.7874756,1249.87
2021-12-13,327.4761353,323.0928345,426.9606323,407.0820618,468.5890503,863.4902954,730.0430298,403.2139893,1259.37
2021-12-20,321.8476563,316.3934021,426.0968323,409.5111084,473.3354187,839.5483398,726.8425903,392.5238342,1263.839
2021-12-27,311.2061462,306.8707275,426.0246277,411.4807129,478.3023071,794.4535522,732.7268066,377.408844,1261.01
2022-01-03,309.4076843,306.6954041,425.3976746,410.8734741,484.131134,746.6676636,720.1933594,367.7116699,1265.016
2022-01-10,312.8529968,306.6168518,404.605835,394.4916992,479.0801086,652.5079956,706.7026367,367.9433594,1272.833
2022-01-17,314.506073,307.6628723,385.1304321,374.2288818,470.3987122,669.0536499,693.7318115,365.5478821,1273.537
2022-01-24,299.4906006,295.8423157,379.195343,375.436554,467.3275757,741.5446777,706.6040039,355.9493103,1272.47
2022-01-31,289.7189331,284.5678711,366.5925903,363.2813416,452.2502441,797.2772217,684.3010254,341.5250854,1273.048
