date,priceJP,priceUSA_TAIWAN,importPriceUSA,importPriceJP,weightA,stock,gosi,priceCN,USD_KR
2021-10-04,454.5979614,460.3063049,472.0403748,455.6223145,529.0169067,751.8594971,897.5446777,581.1127319,1187.5
2021-10-11,447.5223083,449.852356,472.3496704,456.9536438,533.437439,781.4206543,884.3374634,572.6748657,1196.5
2021-10-18,441.2679443,440.1757202,472.1538086,457.3117676,537.9380493,808.9453735,872.715271,565.8779907,1187.5
2021-10-25,431.4483643,427.1711121,468.2165222,452.6081238,537.739502,830.7103882,863.7803345,554.7105103,1186.742
2021-11-01,423.1252441,416.3728027,473.1348877,459.3035889,543.9017944,850.2154541,861.100769,546.5315552,1192.067
2021-11-08,414.0619507,405.6802979,471.2723389,457.6228943,542.5224609,848.9332886,843.9190063,534.9897461,1198.598
2021-11-15,406.213623,396.4517822,467.4293823,451.3168945,537.609314,860.6156616,840.241333,525.9406128,1231.485
2021-11-22,399.3903503,388.4263916,468.1231384,452.5574646,535.1990356,883.4624634,835.3915405,515.6639404,1254.471
2021-11-29,394.5267639,382.6755066,463.5354919,448.9930115,524.6287231,896.0606079,816.9879761,506.444519,1262.424
2021-12-06,387.4093018,374.934967,464.7062683,448.5419617,526.8036499,896.7949219,814.7297363,495.978363,1262.325
2021-12-13,375.9554138,365.5950317,464.5377197,447.2839661,529.9111328,887.2878418,809.9616089,481.8331299,1272.583
2021-12-20,374.5322876,362.7541809,458.4433594,441.9841919,522.8873291,869.6835938,792.0774536,468.9610596,1278.027
2021-12-27,371.1719055,358.2162781,454.6554565,440.4088745,523.1107178,830.0280151,792.3364868,455.3833008,1279.907
2022-01-03,363.368988,351.2722473,448.1477356,436.9299927,524.75177,772.8275146,785.1670532,441.4156189,1287.221
2022-01-10,356.7654724,345.5708313,442.6340942,433.1548767,531.6012573,674.6580811,793.2346191,438.9883423,1293.572
2022-01-17,352.2316284,342.8111877,425.4960632,420.0354004,524.1470947,691.4694824,774.1827393,432.9144592,1294.797
2022-01-24,348.8473511,337.8815918,413.7856445,409.7763062,509.2548218,765.5728149,766.675293,425.7660522,1299.045
2022-01-31,340.2268372,328.3786621,405.81427,404.8760376,500.9420166,823.1293945,761.7680664,417.0331116,1301.068
