date,분기고시가,weightA,priceUSA_TAIWAN,priceJP,priceCN,importPriceUSA,importPriceJP,stock,USD_KR,JPY_KR,quarter,scrap,scrap_gap,forecast
2021-10-15,0.9935483870967743,0.9845679012345678,1.0,1.0,0.8465116279069768,0.9217687074829931,1.0,0.4729064039408868,0.6731843575418992,0.44535225734161266,1.0,1.0,0.9971912642043839,0.5297550871884044
2021-10-08,0.9935483870967743,0.9506172839506173,0.9636363636363636,0.9082568807339451,0.841860465116279,0.9217687074829931,0.9571428571428574,0.5221674876847291,0.7150837988826817,0.6019422008497122,1.0,0.9664261060558519,0.9971912642043839,0.5151932939060996
2021-10-01,0.9935483870967743,0.9290123456790123,0.9672727272727273,0.8532110091743119,0.8395348837209303,0.9217687074829931,0.7714285714285717,0.5894909688013137,0.6899441340782122,0.5553480554647736,1.0,0.9102604330090991,0.9971912642043839,0.5969633494882715
2021-09-24,1.0,0.9259259259259258,0.9672727272727273,0.8318042813455657,0.8209302325581395,0.7857142857142857,0.7714285714285717,0.5615763546798029,0.6229050279329611,0.6015220131658809,0.9767441860465169,0.8955130216504548,1.0,0.7366721473259085
2021-09-17,1.0,0.9506172839506173,0.9345454545454546,0.8165137614678899,0.8488372093023256,0.7857142857142857,0.7714285714285717,0.5615763546798029,0.6201117318435756,0.6217377095102474,0.9767441860465169,0.9130844053969249,1.0,0.875449828830269
2021-09-10,1.0,0.9567901234567899,0.9272727272727272,0.8226299694189603,0.8488372093023256,0.7857142857142857,0.7571428571428575,0.4499178981937604,0.6005586592178771,0.5818198795461971,0.9767441860465169,0.9143395042359583,1.0,0.9666610850631323
2021-09-03,1.0,0.9814814814814814,0.8909090909090909,0.834862385321101,0.8209302325581395,0.7857142857142857,0.7714285714285717,0.3152709359605912,0.527932960893855,0.5274756057705776,0.9767441860465169,0.9350486350800125,1.0,0.9856848041089177
2021-08-27,0.9838709677419355,1.0,0.8872727272727272,0.8532110091743119,0.813953488372093,0.9166666666666666,0.7571428571428575,0.15106732348111662,0.6005586592178771,0.5716420000933748,0.9767441860465169,0.957169752117979,0.9962025030810799,0.9287947414630682
2021-08-20,0.9838709677419355,0.9845679012345678,0.8836363636363636,0.8685015290519877,0.8279069767441861,0.9166666666666666,0.7571428571428575,0.1543513957307061,0.6787709497206702,0.6520379102665856,0.9767441860465169,0.9461876372764353,0.9962025030810799,0.817986771312345
2021-08-13,0.9838709677419355,0.9814814814814814,0.8618181818181818,0.871559633027523,0.8488372093023256,0.9166666666666666,0.7714285714285717,0.17898193760262737,0.5949720670391061,0.5617909332835334,0.9767441860465169,0.9471289614057106,0.9962025030810799,0.7033423558566173
2021-08-06,0.9838709677419355,0.9814814814814814,0.8618181818181818,0.8899082568807339,0.8720930232558141,0.9166666666666666,0.7714285714285717,0.2627257799671594,0.449720670391061,0.47467202016900867,0.9767441860465169,0.9471289614057106,0.9962025030810799,0.6426893373752313
2021-07-30,0.7806451612903227,0.9814814814814814,0.8800000000000001,0.8929663608562692,0.8720930232558141,0.9166666666666666,0.8142857142857144,0.29885057471264376,0.4748603351955305,0.5048788458844946,0.9767441860465169,0.9565422026984625,0.9326278127987012,0.6634299491287493
2021-07-23,0.7806451612903227,0.9475308641975309,0.9490909090909092,0.8990825688073396,0.8395348837209303,0.9166666666666666,0.8285714285714288,0.18883415435139583,0.4916201117318435,0.4750922078528408,0.9767441860465169,0.93551929714465,0.9326278127987012,0.741646568643549
2021-07-16,0.7806451612903227,0.9444444444444444,0.96,0.9021406727828747,0.841860465116279,0.9166666666666666,0.8428571428571431,0.19211822660098532,0.438547486033519,0.45160838507866874,0.9767441860465169,0.936460621273925,0.9326278127987012,0.823701657690596
2021-07-09,0.7806451612903227,0.9135802469135801,0.9709090909090909,0.9021406727828747,0.8372093023255814,0.9166666666666666,0.8428571428571431,0.21182266009852224,0.4804469273743015,0.48340258648863177,0.9767441860465169,0.9144963915908375,0.9326278127987012,0.8705137107518466
2021-07-02,0.7806451612903227,0.8765432098765431,0.9418181818181819,0.8960244648318043,0.8395348837209303,0.9047619047619048,0.8714285714285716,0.3087027914614122,0.4106145251396649,0.37163266258929006,0.9767441860465169,0.8933165986821461,0.9326278127987012,0.8786340671766792
2021-06-25,0.725806451612903,0.8765432098765431,0.9236363636363636,0.8807339449541285,0.841860465116279,0.9047619047619048,0.8714285714285716,0.2972085385878489,0.3659217877094969,0.3688314113637423,0.9534883720930338,0.8933165986821461,0.9162093266921821,0.8599960668119535
2021-06-18,0.725806451612903,0.8395061728395061,0.9163636363636365,0.8837920489296636,0.8162790697674419,0.9047619047619048,0.9285714285714287,0.33990147783251246,0.3798882681564244,0.40529436481628434,0.9534883720930338,0.8795105114527766,0.9162093266921821,0.7165409574869016
2021-06-11,0.725806451612903,0.8209876543209875,0.8981818181818182,0.8807339449541285,0.7930232558139535,0.9217687074829931,0.8142857142857144,0.36945812807881784,0.2793296089385473,0.35617909332835307,0.9534883720930338,0.8427988704110447,0.9162093266921821,0.5741864199789256
2021-06-04,0.725806451612903,0.8179012345679011,0.8800000000000001,0.8837920489296636,0.788372093023256,1.0,0.7857142857142859,0.3185550082101807,0.2960893854748603,0.34067883654699127,0.9534883720930338,0.8415437715720111,0.9162093266921821,0.41878401781058694
2021-05-28,0.5903225806451613,0.8179012345679011,0.9490909090909092,0.8837920489296636,0.8953488372093023,1.0,0.8142857142857144,0.29556650246305427,0.2905027932960893,0.35109015360194196,0.9534883720930338,0.847819265767179,0.8904207969422936,0.2967607361874191
