feature_names,coefficient
weightA,226.79999999999978
importPriceJP,70.00000000000016
importPriceUSA,29.400000000000073
priceCN,1.792648376889504e-14
stock,-4.530388963040463e-15
priceJP,-2.2800144729356787e-14
USD_KR,-3.1696043219453574e-14
priceUSA_TAIWAN,-1.3099979072174863e-13
