date,분기고시가,weightA,priceUSA_TAIWAN,priceJP,priceCN,importPriceUSA,importPriceJP,stock
2019-03-08,733,334,299,309,396,338,320,918
2019-03-01,733,313,310,299,389,310,305,935
2019-02-22,733,310,305,289,389,310,305,967
2019-02-15,733,319,278,280,389,310,285,917
2019-02-08,733,327,275,280,389,310,285,913
2019-02-01,733,327,265,280,368,310,285,913
2019-01-25,733,335,260,280,368,302,285,838
2019-01-18,733,340,260,281,368,302,290,691
2019-01-11,733,328,265,287,368,308,295,776
2019-01-04,733,307,275,285,368,313,295,826
2018-12-28,745,306,275,285,382,313,295,917
2018-12-21,745,306,278,284,382,316,295,965
2018-12-14,745,306,283,283,382,325,295,1020
2018-12-07,745,316,285,292,382,335,300,1065
2018-11-30,745,319,295,301,385,335,305,1078
2018-11-23,745,329,300,307,385,358,315,1058
2018-11-16,745,338,307,322,385,358,325,1035
2018-11-09,745,348,315,339,385,358,340,1038
2018-11-02,745,350,320,349,384,358,350,1071
2018-10-26,745,356,328,349,384,358,350,1008
2018-10-19,745,356,333,347,384,358,373,1037
2018-10-12,745,357,336,347,384,358,373,1032
2018-10-05,745,355,335,346,384,358,355,1001
2018-09-21,710,356,329,340,380,352,355,1015
2018-09-14,710,361,325,338,380,352,355,987
2018-09-07,710,362,320,341,380,352,355,961
2018-08-31,710,362,322,342,332,352,355,920
2018-08-24,710,363,323,338,332,352,358,910
2018-08-17,710,359,324,331,332,352,358,900
2018-08-10,710,353,325,331,332,349,358,951
2018-08-03,710,341,330,330,332,349,350,969
2018-07-27,710,337,335,329,342,357,350,960
2018-07-20,710,333,335,329,342,357,340,922
2018-07-13,710,340,335,329,342,357,330,905
2018-07-06,710,327,335,330,342,357.5,330,951
2018-06-29,725,319,330,331,372,357.5,330,973
2018-06-22,725,319,330,333,372,357.5,330,951
2018-06-15,725,326,325,336,372,357.5,335,983
2018-06-08,725,330,330,336,372,360.5,340,892
2018-06-01,725,331,338,334,351,360.5,340,907
2018-05-25,725,317,340,332,351,362.5,345,997
2018-05-18,725,307,340,322,351,362.5,345,1053
2018-05-11,725,305,340,322,351,363,330,1091
2018-05-04,725,313,338,318,351,363,330,1142
2018-04-27,725,320,330,318,381.9,363,330,1122
