ds,stock,weightA,importPriceUSA,priceCN,분기고시가,priceJP,importPriceJP
2017-05-12,1046.1559893819287,237.10522799501268,258.27021107087614,239.97989118634646,632.2601385605474,222.720772367141,235.8125322245951
2017-05-19,1015.0418071988424,242.1036916623508,269.1856448933155,240.0632516183239,633.7927449087158,227.29701485319973,243.7820311589519
2017-05-26,977.87749738055,247.28082109916383,276.9497170247984,236.29107241646014,635.2126831369676,230.94490041029695,244.99264357616576
2017-06-02,951.4185887680346,249.75444348194412,280.8288400699013,229.75172334110107,636.626960531958,233.17983940144757,244.45658054706834
2017-06-09,945.377620462448,249.36325141374354,282.64539275325166,223.82621658541265,638.2309719016018,234.39138093961537,247.72771242469787
2017-06-16,953.2905521332975,247.93845403549284,284.7341356771218,220.78674600831945,639.8087961048274,234.6901915867667,254.37109904983498
2017-06-23,961.5495723847586,246.87780361912368,288.1355883242794,219.56679311912038,640.9230160630341,233.60318845137573,258.79103625872074
2017-06-30,966.2763038920765,245.78456772880304,292.4484295278443,217.16949660511787,641.5080668678322,230.8554904885237,257.2030101668036
2017-07-07,976.3335648782077,252.3994121025229,296.67706834868363,223.24194215544716,639.0063933374524,239.11973139569034,264.1616263847302
2017-07-14,997.0153085400289,257.17664394475753,299.9562099580933,227.81350733360588,637.4115560525096,246.62567219149048,272.4449000148513
2017-07-21,1014.3726541227855,261.22528249100657,302.04027277766056,233.85043448136227,637.4382711291571,253.76525060935808,284.58785151861156
2017-07-28,1002.5259206729379,266.4083144398311,303.75845317381504,242.52727399892197,639.2966182939675,260.36151106414076,297.1924955807001
2017-08-04,950.1348858679045,273.75737761259,306.7959909563009,251.78508624392802,642.4085366049989,266.4930717529456,305.89622369072407
2017-08-11,877.627252168786,282.7640762811933,312.142526612523,258.68659018640545,645.22173268099,273.02600944019304,311.610581230927
2017-08-18,824.1819689080401,291.9222173571235,318.3474717061926,262.88151217888816,645.5794748307277,280.80867163488944,319.70862569943296
2017-08-25,815.9060623497924,299.7016697043444,322.0313513588579,267.0953249035041,641.9098336745758,289.4383002249039,333.1677333823102
2017-09-01,847.0531906538384,305.17836031387714,319.75171889220746,268.4251696362558,645.2080945884423,289.84405511065495,330.0773540386873
2017-09-08,891.2379418457575,308.279721945853,315.2663870928628,271.97311872385836,646.9019456225369,289.0606737613177,324.5088993047285
2017-09-15,927.3951707746317,309.8252926537021,313.64662903595837,274.7452661839965,649.8125100872098,288.2020843791524,317.03192319448266
2017-09-22,952.729186319368,311.17379082885617,317.6469148040838,274.78735659909876,655.3092581234501,289.0430345396336,312.17024505194166
2017-09-29,973.9512171721964,313.31016402821405,324.44218008278307,273.2073500166669,662.5226254888847,292.0208299862208,312.1310501818461
2017-10-13,1006.7647142221269,317.76739128192634,327.5409893632968,274.2394412905082,675.3653780458042,300.18908834459734,314.2828563100512
2017-10-20,1013.6777612936751,317.71854698662435,325.69959127955485,276.65400388102273,680.3469717870862,305.89355566306534,313.2011498824097
2017-10-27,1019.3109180284637,312.888052943394,323.8905531416495,276.44475709008856,681.2318976749107,301.912144301937,308.33477814821237
2017-11-03,1026.925269916656,309.34707078394473,326.67767088966986,275.2112614759845,682.2040026650731,302.3341388993876,308.8482710223658
2017-11-10,1030.0732411366234,309.06856577245566,328.68844183238633,274.81191146163,682.6984086630177,305.76320529346094,313.4032524714185
2017-11-17,1018.588822129896,312.19154250794026,325.9110815171024,276.88049113819704,682.5845450427172,310.31027271250264,319.4647014974254
2017-11-24,992.5547817746497,317.2178230956041,321.46827696671977,281.16545345279087,682.6005672522792,315.0518976690427,326.3592003137992
2017-12-01,965.7166063542836,322.6210863955817,323.0937382687079,285.9118217026839,683.5295851301299,319.36034448774257,333.97044010046454
2017-12-08,951.2894297199462,328.1971810989328,334.6277369278659,289.4713679440547,685.2235580072161,321.377215778573,339.36294370199136
2017-12-15,945.8731772242658,332.4500359303929,351.1362269603792,301.37717160523323,689.6799585481384,337.12579716879293,360.5394643331158
2017-12-22,932.0550104037166,339.00076897007665,363.39295095294136,312.020201833082,693.6327427391226,347.0789892542971,371.51058193673447
2017-12-29,899.2288806202077,347.92309576912464,366.7699951235224,322.1956073755635,697.7057719274624,352.1897176567969,373.3043073235489
2018-01-05,859.7561892309903,357.6843917043396,364.6275928102386,332.9317721184847,702.6573677220617,355.68618763744684,371.5106503169921
2018-01-12,841.2654251500421,365.2452925347453,362.8936722283211,345.2891996824341,708.1497130821758,359.3611195549743,369.61244287694615
2018-01-19,862.0582551480622,367.0362897086127,362.76068943019226,359.76022646124824,712.8987039388113,361.1571960495148,365.13220312266975
2018-01-26,914.8307023221051,360.9934245739955,360.18074068913285,375.65456508628733,716.2221307345189,357.3461935073232,354.2900046204225
2018-02-02,973.8078596917704,348.71897341637026,352.29337586068567,391.3591171544645,719.0550276477843,347.43964034475846,340.0671019096286
2018-02-09,1015.2432332481582,335.6833399607048,343.56335736124373,393.3065646897941,717.0351821553613,337.6990889447539,331.7774291390291
2018-02-16,1030.3472150243517,328.231191213336,339.97364798405397,393.17398657078195,716.2111763213379,333.3780723243817,338.71640892874757
2018-02-23,1022.7450224412252,329.14639513041266,344.7275769935554,391.32967469644944,714.8994799856052,337.12506515129525,356.9825257872851
2018-03-02,1000.395991517308,335.6077845568941,353.51954676414664,388.1156041113928,711.727964910518,345.25762832109206,372.91331435220224
2018-03-09,973.0504223202535,341.77967479338116,358.9168932369632,384.17187040645143,707.9699210774776,351.6350936979453,376.00590658632814
