feature_names,coefficient
weightA,241.8862327292768
priceCN,153.80025329809115
priceJP,99.67070339316788
USD_KR,75.85811021642206
importPriceUSA,-74.01981464757668
JPY_KR,-106.52388553235393
importPriceJP,-133.5177213436603
